"","X","n_occurrence","latitude","longitude","city","occurrence_type","carteira","bolsa_ou_mochila","celular","documentos","notebook","tablet","mp4_ou_ipod","cartao_de_credito","outros","relogio","equipamento_de_som","tv","dvd","som","moveis","computador","estepe","bicicleta","dinheiro","date","time","nearby_location","nearby_location"
"1",1,69,-22.9062311,-43.104556,"Niteroi","Roubo ",TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"2013-01-17","00:15","Banco","Icaraí"
"2",1,69,-22.9062311,-43.104556,"Niteroi","Roubo ",TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"2013-01-17","00:15","Restaurante","Icaraí"
"3",1,69,-22.9062311,-43.104556,"Niteroi","Roubo ",TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"2013-01-17","00:15","Clinica","Icaraí"
"4",1,69,-22.9062311,-43.104556,"Niteroi","Roubo ",TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"2013-01-17","00:15","Ponto Turistico","Icaraí"
"5",1,69,-22.9062311,-43.104556,"Niteroi","Roubo ",TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"2013-01-17","00:15","Super Mercado","Icaraí"
"6",1,69,-22.9062311,-43.104556,"Niteroi","Roubo ",TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"2013-01-17","00:15","Escola","Vital Brazil"
"7",1,69,-22.9062311,-43.104556,"Niteroi","Roubo ",TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"2013-01-17","00:15","Restaurante","Icaraí"
"8",1,69,-22.9062311,-43.104556,"Niteroi","Roubo ",TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"2013-01-17","00:15","Restaurante","Icaraí"
"9",1,69,-22.9062311,-43.104556,"Niteroi","Roubo ",TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"2013-01-17","00:15","Escola","Icaraí"
"10",1,69,-22.9062311,-43.104556,"Niteroi","Roubo ",TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"2013-01-17","00:15","Bar","Icaraí"
